Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Window Views,Parking,Amenities,The House Has,Links
Stone,Yes,Not available,5.0,55 sq.m.,1.0,1,from 2.75 m,1.0,Open balcony,Euro Renovation,"Manushyan street 3, Gyumri","12,000 ֏ daily",AMD,"The apartment is located in a hot stone building, equipped with everything necessary for living (gas, electrical appliances, heating, WiFi, TV) ; There are gas stations, cars, beauty salons, shops, supermarkets, restaurants, bars, taverns, as well as fast food outlets nearby. It is located not far from the center in Charles Aznavour Square.Translated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/15505537
Stone,Yes,Not available,4.0,55 sq.m.,2.0,1,from 2.8 m,1.0,Not available,Designer Renovation,Shirak › Gyumri,"12,000 ֏ daily",AMD,"A 2-room apartment is for daily rent, the apartment has a TV, refrigerator, washing machine, bedding,Dishes, Baxi. Depending on the booked days, hours and number of residents, price changes are possible. Prices can change depending on the duration of the rental and the number of people.Translated from Armenian",Nov-24-2022_17-53,,4,Yes,No,Included,By Agreement,,,,,,https://list.am/en/item/15769293
Stone,No,Not available,4.0,76 sq.m.,2.0,1,from 2.8 m,2.0,Open balcony,Cosmetic Renovation,"Lalayan St, Gyumri","200,000 ֏ monthly",AMD,"Сдается двухкомнатная квартира площадью 76 кв/м, МИНИМУМ НА ГОД. Кватрира на втором этаже четырехэтажного дома, на улице Лалаян, в Гюмри. (мясокомбинат)Квартира светлая, во дворе дома детская площадка.В квартире есть следующие коммуникации: Газ, горячая и холодная вода, индивидуальная система отопления, (ИНТЕРНЕТА НЕТУ В КВАРТИРЕ) Квартира уютная, есть телевизор, кровати, газовая плита, холодильники, микроволновая печь, санузел кафель, (У КАБИНЫ РАЗБИТО ЗАДНЕЕ СТЕКЛО, НА ФОТКАХ ВИДНО), подвал, кладовая, балкон, благоустроенный двор. Аренда в рублях - 35.000 рублей.Վարձով է տրվում 76ք/մ մակերեսով երկու սենյականոց բնակարան՝ չորս հարկանի շենքի երկրորդ հարկում՝ քաղաք Գյումրի Լալայան փողոցում: (մսի կոմբինատ)Բնակարանը արևկող Է։Շենքի բակում առկա է խաղահրապարակ։Բնակարանն ունի հետևյալ կոմունալ հարմարությունները՝ գազ, տաք և սառը ջուր, ջեռուցման անհատական համակարգ։Բանակարանը հարմարավետ է, առկա է հեռուստացույց, մահճակալներ, գազօջախ, սառնարաններ, միկրոալիքային վառարան, սալիկապատ լոգասենյակ, նկուղ, մառան, պատշգամպ հարմարավետ բակ։ Ամսավճարը ռուբլով' 35.000 ռուբլի։",Nov-24-2022_17-53,,4,Yes,Yes,Not included,2 months,,,,,,https://list.am/en/item/18073773
Stone,No,Not available,5.0,96 sq.m.,4.0,1,from 2.75 m,4.0,Multiple balconies,Partial Renovation,"Trdat Architector street, Gyumri",$400 monthly,USD,"Сдается на долгосрочное проживание 4- х комнатная квартира в Гюмри.3 спальни, 5 спальных мест, 2 открытых балкона.Վարձով է տրվում 4 սենյականոց բնակարան Գյումրիում։",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/18038921
Stone,Yes,Not available,5.0,40 sq.m.,1.0,1,from 3 m,2.0,Open balcony,Euro Renovation,"Улица Михаила Салтыкова-Щедрина 7, Гюмри","14,000 ֏ daily",AMD,"Օրավարձով է տրվում 1 սենյականոց նորաոճ բնակարան Գյումրու կենտրոնում։ Բնակարանը կահավորված է, ջեռուցվում է, խոհանոցում կա սպասք, անհրաժեշտ տեխնիկա։Կախված օրերից և բնակիչների քանակից հնարավոր է գնային փոփոխություն. Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор WiFI* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации: (Месячная оплата 250000)",Nov-24-2022_17-53,Available,2,Yes,No,Included,1 month,,,,,,https://list.am/en/item/18347979
Stone,Yes,Not available,3.0,44 sq.m.,2.0,1,from 2.75 m,1.0,Open balcony,Euro Renovation,Shirak › Gyumri,"7,000 ֏ daily",AMD,"Օրավաձով է տրվումԲնակարանը գյումրիում վերանորոգված է, ապահովված կոմունալ բոլոր հարմարություններով՝ մշտական տաք և սառը ջուր, անհատական ջեռուցման համակարգ։ Բնակարանում առկա է անկողնային պարագաներ և սպիտակեղեն, սրբիչներ, սպասք, ամբողջությամբ կահավորված` Հեռուստացույց, WI-Fi սառնարան, լվացքի մեքենա: Անմիջական հարևանությամբ՝ սուպերմարկետ, երթուղային տաքսիների և տաքսիների կանգառ:Квартира с евроремонтом, обеспечена всеми коммунальными удобствами: Постоянная горячая-холодная вода, индивидуальная система отопления. В квартире есть постельное белье, полотенца, посуда, полностью меблирована: Телевизор, WI-Fi холодильник, стиральная машина. В непосредственной близости: Супермаркет, маршрутка և остановка такси.",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17042508
Monolith,No,Not available,4.0,100 sq.m.,3.0,1,from 2.8 m,3.0,Not available,Euro Renovation,Shirak › Gyumri,"120,000 ֏ monthly",AMD,"Underneath and cold water, new dryer, new washing machine, in a word, everything is ready.Translated from Armenian",Nov-24-2022_17-53,Available,5,Yes,No,Not included,By Agreement,,,,,,https://list.am/en/item/18187446
Stone,No,Not available,5.0,62 sq.m.,2.0,1,from 2.7 m,5.0,Open balcony,Euro Renovation,"Улица С. Григоряна 10А, Гюмри","200,000 ֏ monthly",AMD,"2 + 1 ком. ️65 квадратов️Ул. Григорян возле Жд вокзала недалеко от центра️Новый ремонт️Большой балкон, красивый вид из балкона️5_ый этаж️200.000 драм + комиссия️Կոդ 8631",Nov-24-2022_17-53,Available,4,Yes,Yes,Not included,1 month,,,,,,https://list.am/en/item/18246369
Stone,No,Not available,3.0,140 sq.m.,5.0,1,from 3.5 m,2.0,Open balcony,Cosmetic Renovation,"Rizhkov Street, Gyumri","110,000 ֏ monthly",AMD,"An apartment is for rent in the center of the city, 5 bedrooms are warm and bright, the balcony overlooks the central street. It is very spacious and comfortable.Code 1234Translated from Armenian",Nov-24-2022_17-53,,8+,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/16846477
Stone,No,Not available,3.0,110 sq.m.,3.0,1,from 3 m,3.0,Open balcony,Cosmetic Renovation,"Sayat-Novai St, Gyumri","110,000 ֏ monthly",AMD,"A spacious, warm, bright apartment is for rent or daily rent in the center of Gyumri. The location is east-west, has individual heating system, hot and cold water, with property and all communal facilities. The apartment is cosmetically renovated, located on Sayat-Nova street, in front of the theater. There are many shops, cafes, supermarkets and restaurants nearby. The apartment is given for the New Year holidays. The price is conditioned by the number of people։ days.Translated from Armenian",Nov-24-2022_17-53,,6,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/17148076
Stone,Yes,Not available,5.0,60 sq.m.,3.0,1,from 2.6 m,3.0,Closed balcony,Cosmetic Renovation,"Մաքսիմ Գորկու փողոց 67, Գյումրի","12,000 ֏ daily",AMD,"The apartment is located in the city center, designed for up to 4 people.Cost per day:Up to 2 persons - 12,000For 2-4 persons - 15,000We do not charge for children under 10 years old.The apartment consists of:Living room - Here you can organize your rest (TV (Smart TV), sofa, high-speed Internet)In the kitchen there are necessary accessories (dishes, utensils for first use, pots), washing machine, e-mail. Kettle, fridge, e-mail tile:Bedroom - Orthopedic mattress will ensure your restful sleep.Bathroom - The cleanliness of the bathroom is the most important thing for every guest. The bathroom has hot and cold water.Translated from Armenian",Nov-24-2022_17-53,Available,5,Yes,Negotiable,Included,By Agreement,,,,,,https://list.am/en/item/18241996
Stone,Yes,Not available,4.0,60 sq.m.,2.0,1,from 2.7 m,2.0,Closed balcony,Designer Renovation,"Garegin Nzhdeh Avenue 9/4, Gyumri","18,000 ֏ daily",AMD,"Apartment 11 is designed for up to 4 people.Cost per day:Up to 2 persons - 18,000For 2-4 persons - 22,000We do not charge for children under 10 years old.Apartment 11 consists of:Living room - Here you can organize your rest (TV (Smart TV), sofa, high-speed Internet)Kitchen - Our kitchen will surprise the most capricious guest, because we have the necessary accessories for the guest (dishes, first-use items, pots)Bedroom - Orthopedic mattress will ensure your restful sleep, and 90's furniture will give you positive energy.Bathroom - The cleanliness of the bathroom is the most important thing for every guest. The bathroom is equipped with hot and cold water, bathroom accessories.Coming from you, the rest from us.Instagram - /apartment__11__/facebook - /ApartmentN11:Booking - booking. Com/Share-6PPiERairbnb - airbnb. Com/h/apartament11:Translated from Armenian",Nov-24-2022_17-53,Not available,4,Yes,No,Not included,By Agreement,,,,,,https://list.am/en/item/17990349
Bricks,No,Not available,4.0,90 sq.m.,3.0,1,from 2.8 m,2.0,Not available,Cosmetic Renovation,Shirak › Gyumri,"12,000 ֏ daily",AMD,"Three rooms renovated. In the adjacent area there are schools, kindergartens, playgrounds. In case of long-term rent, 90,000 AMD per month.Translated from Armenian",Nov-24-2022_17-53,Available,6,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/17982189
Monolith,Yes,Not available,4.0,70 sq.m.,3.0,1,from 2.8 m,4.0,Open balcony,Euro Renovation,"Улица Паруйра Севака 3, Гюмри","160,000 ֏ monthly",AMD,"Сдаётся на длительный срок, от 6 месяцев. В кухне вся техника новая, высококачественная. Локальное отопление (итальянский двухконтурный газовый котёл) Вода, газ, электричество wi-fi, - всё подключено. Высококачественные окна.Без комиссии и риелторов. От собственника. Залог 1 месяц. Аренда 160000 др. + счётчики и интернет.Квартира освобождается 1 декабря",Nov-24-2022_17-53,Available,4,Yes,No,Included,1 month,,,,,,https://list.am/en/item/18372686
Monolith,Yes,Not available,5.0,80 sq.m.,3.0,1,from 2.7 m,3.0,Multiple balconies,Euro Renovation,Shirak › Gyumri,"10,000 ֏ daily",AMD,"2-room apartment is for daily rent, the apartment has TV, refrigerator, washing machine, gas stove, wi fi, bedding,Dishes, Baxi. Price change is possible depending on the fixed days, hours and number of residentsТрехкомнатная квартира в Гюмри, со всеми удобствами для 4-х человек...Translated from Armenian",Nov-24-2022_17-53,Available,4,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/15639444
Stone,Yes,Not available,4.0,40 sq.m.,1.0,1,from 2.5 m,4.0,Not available,Euro Renovation,"Квартал Муш 2 10-2А, Гюмри","200,000 ֏ monthly",AMD,"Hot and cold water with communal facilities, with a bunk bed, in short, everything is in the bed as well. GYUMRITranslated from Armenian",Nov-24-2022_17-53,Available,4,Yes,No,By Agreement,1 month,"FRidge, stove, coffee maker, washing machine, water heater, iron","YArd view, street view",,,,https://list.am/en/item/18032904
Stone,Yes,Not available,1.0,75 sq.m.,2.0,1,from 2.5 m,1.0,Not available,Euro Renovation,"Թումանյան փողոց 110, Գյումրի","15,000 ֏ daily",AMD,"Daily rent, with all communal facilities, newly renovated, furnished apartment in the heart of Gyumri, equipment, heating, WiFiFor more information callTranslated from Armenian",Nov-24-2022_17-53,Available,1,Yes,Yes,Included,2 months,,,,,,https://list.am/en/item/17762311
Stone,No,Not available,3.0,80 sq.m.,3.0,1,from 3 m,3.0,Multiple balconies,Major Renovation,"Tigran Mets Avenue 2, Gyumri","12,000 ֏ monthly",AMD,"Վարձով է տրվում գեղեցիկ վերանորոգված և կոմունալ բոլոր հարմարություններով բնակարան Գյումրի քաղաքի կենտրոնումСдается квартира посуточно со всеми удобствами. Квартира находится в центре города на Площади Независимости (бывшая площадь Ленина) В 100 метрах от ресторана Ташир Пицца. Начало туристического маршрута, где расположены все кафе, рестораны, магазины, музеи и прочие достопримечательности города. От Площади Независимости до Центральной площади Вардананц, можно сказать находится Туристическая Золотая Миля, аналог Невского проспекта, Арбата, Елисейских полей, Пиккадилли, 5 Авеню или Голливудского бульвара.Капитальный ремонт февраль 2020 года. Бесплатный WI FI 30 Мб, кабельное телевидение, отопление, горячая вода круглосуточно, два телевизора, один из них TV SMART. Кухня, газовая плита, электрочайник, кухонные принадлежности, посуда, кастрюли, сковородки. Две спальни и гостиная. Может разместиться до 7 человек. Стоимость в зависимости от количества постояльцев. Стоимость проживания в сутки:12 000 драм – на двоих.14 000 драм – на троих.16 000 драм – на четыре человека.18 000 драм – на пятерых.20 000 драм – на шестерых.22 000 драм – на семь человек.Скидка на детей уже включена в стоимость проживания.При проживании от 10 дней возможна небольшая скидка по договоренности.Apartment for rent with all amenities. The apartment is located in the city center on Independence Square (former Lenin Square) 100 meters from Tashir Pizza Restaurant. The beginning of the tourist route, where all the cafes, restaurants, shops, museums and other attractions of the city are located. From Independence Square to the Central Square of Vardanants, one can say is the Touristic Golden Mile, an analogue of Nevsky Prospekt, Arbat, Champs Elysees, Piccadilly, 5th Avenue or Hollywood Boulevard.Overhaul February 2020. Free WI FI 30 MB, cable TV, heating, hot water round the clock, two televisions, one of them is TV SMART. Kitchen, gas stove, electric kettle, kitchen utensils, dishes, pots, pans. Two bedrooms and a living room. Can accommodate up to 7 people. Cost depending on the number of guests. Cost of living per day:AMD 12,000 - for two.14 000 drams - for three.AMD 16,000 - for four people.18 000 drams - for five.AMD 20,000 - for six.22 000 drams - for seven people.Children discount is already included in the price.For stays of 10 days or more, a small discount is possible by agreement.",Nov-24-2022_17-53,,7,Yes,No,Included,2 weeks,,,,,,https://list.am/en/item/18354851
Stone,Yes,Not available,4.0,52 sq.m.,2.0,1,from 2.8 m,1.0,Not available,Euro Renovation,"Квартал Муш 2 16, Гюмри","13,000 ֏ daily",AMD,Сдаётся двух комнатная квартира со всеми удобствами в городе Гюмри Тихий район В шаговой находятся магазины По остальным вопросам звоните,Nov-24-2022_17-53,Available,4,Yes,No,Included,By Agreement,,,,,,https://list.am/en/item/17224904
Stone,Yes,Not available,4.0,45 sq.m.,1.0,1,from 2.8 m,2.0,Open balcony,Designer Renovation,"Shahumyan street 188, Gyumri","20,000 ֏ daily",AMD,"For daily rent: A modern, newly renovated 1-room apartment located in the heart of Gyumri, near Vardanants Square.The apartment has all the necessary household appliances and equipment:• Heating System• Constant hot and cold water• Gas stove• Smart TV, Cable TV• Wi-fi• Refrigerator• Washing machine• Vacuum cleaner• Iron• Hair dryer• Dishes, etcEverything you need is nearby, from shops and services to restaurants, pubs, museums, attractions and churches. There are also bus/taxi stands nearby.Smoking is only allowed on the outdoor patio.For details write a PM or call the specified number.Translated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17173802
Stone,No,Not available,4.0,70 sq.m.,3.0,1,from 3 m,2.0,Not available,Euro Renovation,Shirak › Gyumri,"20,000 ֏ daily",AMD,"An apartment is for daily rent on Kirov alley near Gyumri central square, equipped with household appliances, furniture, dishes, bedding. Depending on the number of days, the price will be variable, there are shops, cafes, banks nearby.Code 2728Translated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17157771
Stone,No,Not available,4.0,60 sq.m.,2.0,1,from 2.8 m,4.0,Closed balcony,Cosmetic Renovation,Shirak › Gyumri,"130,000 ֏ monthly",AMD,"An apartment is for rent in Gyumri. The apartment has the necessary furniture and appliances, there are also built-in wardrobes, clean and comfortable.Code 3530Translated from Armenian",Nov-24-2022_17-53,,4,Yes,Yes,Not included,1 month,,,,,,https://list.am/en/item/17157846
Stone,Yes,Not available,4.0,50 sq.m.,1.0,1,from 3 m,2.0,Not available,Major Renovation,Shirak › Gyumri,"180,000 ֏ monthly",AMD,"A one-room apartment with all utilities, furnished, and household appliances is for rent in Mush district. There are the necessary conditions for a pleasant lifestyle. Preferably long-term tenants.Code 0591Translated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17233072
Stone,Yes,Not available,4.0,50 sq.m.,2.0,1,from 2.8 m,2.0,Open balcony,Euro Renovation,Shirak › Gyumri,"20,000 ֏ daily",AMD,"A two-room apartment in a newly built building in Gyumri is for daily rent, there are dishes, bedding, internet access, it is also rented by the hour. All the necessary conditions for a pleasant lifestyle. For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17664533
Stone,No,Not available,5.0,110 sq.m.,4.0,1,from 2.8 m,1.0,Multiple balconies,Major Renovation,"Vazgen Arajin street, Vagharshapat","250,000 ֏ monthly",AMD,"Վարձով է տրվում 4 սենյականոց բնակարան ք. Էջմիածնի Վռամ Մեսրոպ Մաշտոց փողոցում փողոցում (1-ին հարկ) ։ Բնակարանն ունի բոլոր կոմունալ հարմարաթյունները (BAXI ՝ տաք-սառը ջուր, գազ) ։»Մանրամասների համար զանգահարել։Здаётся в аренду квартира в городе Эчмиадзин (Улица Месооп Маштоца), квартира полностью отремонтирована, 4-х комнатная, этаж 5/1, есть все коммунальные услуги (Baxi Wi-Fi, горячая-холодная вода, отопление, стиральная машина, холодильник, мебель будет установлена во время арендыԿոդ MA134Translated from Armenian",Nov-24-2022_17-53,Available,5,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/18072893
Panels,Yes,Not available,4.0,65 sq.m.,2.0,1,from 2.6 m,3.0,Open balcony,Major Renovation,"Minas Avetisyan street, Gyumri","9,000 ֏ daily",AMD,"Բնակարանը կապիտալ վերանորոգված է, ունի մշտական տաք և սառը ջուր, սառնարան, լվացքի մեքենա, սպասք և սպիտակեղեն, պատուհանները՝եվրո, կա wi-fi:Квартира в хорошом состаоянии. Всегда есть холодная и горячая вода, холодильник, стиральная машинка, посуда и постельные бельё, есть wi-fi и телевизор.",Nov-24-2022_17-53,Available,2,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/11557043
Stone,Yes,Not available,1.0,53 sq.m.,1.0,1,from 2.8 m,1.0,Not available,Major Renovation,"Furmanov street, Gyumri","12,000 ֏ daily",AMD,"Для вашего отдыха в квартире есть все необходимое: Отопление, горячая и холодная вода, телевизор, WI-Fi холодильник, стиральная машина, на кухне есть посуда.",Nov-24-2022_17-53,Available,5,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/17933607
Stone,Yes,Not available,4.0,45 sq.m.,1.0,1,from 2.6 m,3.0,Open balcony,Euro Renovation,"Yerevan Highway, Gyumri","12,000 ֏ daily",AMD,With all comfortable conditions.Translated from Armenian,Nov-24-2022_17-53,Available,5,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/15675480
Stone,No,Not available,1.0,43 sq.m.,1.0,1,from 2.5 m,1.0,Not available,Euro Renovation,"Furmanov street, Gyumri","12,000 ֏ daily",AMD,"A modern 1-room apartment is for daily rent. The apartment is furnished, heated, there are dishes in the kitchen, necessary equipment.Translated from Armenian",Nov-24-2022_17-53,,4,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/17653992
Panels,Yes,Not available,5.0,85 sq.m.,3.0,1,from 3 m,3.0,Multiple balconies,Euro Renovation,Shirak › Gyumri,"10,000 ֏ daily",AMD,"2-room apartment is for daily rent, the apartment has TV, refrigerator, washing machine, bedding, wi fiDishes, Baxi. Price change is possible depending on the fixed days, hours and number of residentsТрехкомнатная квартира в Гюмри, со всеми удобствами для 4-х человек.Code 1101Translated from Armenian",Nov-24-2022_17-53,Available,4,Yes,Yes,By Agreement,By Agreement,"FRidge, stove, coffee maker, washing machine","YArd view, city view","OUtdoor parking, covered parking","TElevision, internet, parking space",,https://list.am/en/item/15654250
Stone,Yes,Not available,5.0,40 sq.m.,1.0,1,from 2.8 m,2.0,Open balcony,Designer Renovation,Shirak › Gyumri,"12,000 ֏ daily",AMD,1- and 2-room apartments in the central part of Gyumri are for daily rent. All conditions are available to feel comfortable and live.Translated from Armenian,Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/18073323
Stone,Yes,Not available,4.0,53 sq.m.,2.0,1,from 2.6 m,3.0,Open balcony,Euro Renovation,"Квартал Муш 2 4/29, Гюмри","12,000 ֏ daily",AMD,A two-room apartment is for daily rent.Dishes and linen are available in the apartment. Constant hot and cold water.Translated from Armenian,Nov-24-2022_17-53,,2,Yes,No,Not included,2 weeks,,,,,,https://list.am/en/item/18219218
Stone,Yes,Not available,1.0,30 sq.m.,1.0,1,from 2.5 m,1.0,Closed balcony,Designer Renovation,"Sundukyan Street, Gyumri","100,000 ֏ monthly",AMD,"Քաղաքի կենտրոնական մասում, երգիծանքի թանգարանի հարևանուոյամբ։ գազ, ջրատաքացուցիչ, մշտական ջուր, Ունի ինտեռնետ։ Լվածքի մեքենա։ կահավորված է։Газ. Плита, калонка, стиральная машина мебель и сантехника куплена 4месяц назат (кроме спалнего мебель2 кравать, гардероб, тумба) Отопление електрическое. Осенный сезон за электричество буд. Платить пр. 20000драм (обеспечить 18-19градус) Зимний период 50000 (об 18-19градус тепло) а в гараже не более 12градусов. Спальня 3x4м. Кухня 3x 2.9м. Ванная. 1.85 x 1.2.м.Отдельная вытяшка воздух а кухне и в бане. Чтоб лишн. Влаги не была так как высота спальни 2.5м. А кухне 2м. До вашего дома длится калитка интересными плакатами и постерами худ. Фильмов а по саседством музей сатири и юморадом находится От рынка и автостанции 150 метров. А от центра площади 400 метров. Центральная ул Тетяна 100м",Nov-24-2022_17-53,,3,Yes,No,By Agreement,By Agreement,,,,,,https://list.am/en/item/18370760
